 variable_entry,out_name,standard_name,long_name,dimensions,type,units,cell_measures,cell_methods,modeling_realm,must_have_bounds,ok_max_mean_abs,ok_min_mean_abs,positive,stored_direction,valid_max,valid_min
axis,longitude,lon,longitude,longitude,,double,degrees_east,,,,yes,,,,increasing,360.0,0.0,
axis,latitude,lat,latitude,latitude,,double,degrees_north,,,,yes,,,,increasing,90.0,-90.0,
axis,depth_coord,lev,depth,ocean depth coordinate,,,m,,,,yes,,,	  down,increasing,12000.,0.,
axis,olev,lev,,generic ocean level,,double,,,,,no,,,down,increasing,,,
axis,ocean_double_sigma,lev,ocean_double_sigma,ocean double sigma coordinate,,,,,,,yes,,,	  up,,,,
axis,ocean_sigma_z,lev,ocean_sigma_z,ocean sigma over z coordinate,,,,,,,yes,,,,,,,
axis,ocean_s,lev,ocean_s_coordinate,ocean s-coordinate,,,,,,,yes,,,	  up,decreasing,0.,-1.,
axis,ocean_sigma,lev,ocean_sigma_coordinate,ocean sigma coordinate,,,,,,,yes,,,	  up,decreasing,0.,-1.,
variable,eta,,,Sea Surface Height,longitude latitude,real,m,,,,,,,,,,,
variable,depth,depth,,Sea Floor Depth,longitude latitude,real,m,,,,,5000.,2000.,,,12000.,0.,
variable,sigma,,,vertical coordinate formula term: sigma(k),olevel,double,,,,,,,,,,,,
variable,sigma_bnds,,,vertical coordinate formula term: sigma(k+1/2),olevel,double,,,,,,,,,,,,
variable,zlev,,,vertical coordinate formula term: zlev(k),olevel,double,,,,,,,,,,,,
variable,zlev_bnds,,,vertical coordinate formula term: zlev(k+1/2),olevel,double,,,,,,,,,,,,
variable,depth_c,,,vertical coordinate formula term: depth_c,,double,,,,,,,,,,,,
variable,a,,,vertical coordinate formula term: coefficient a,,double,,,,,,,,,,,,
variable,b,,,vertical coordinate formula term: coefficient b,,double,,,,,,,,,,,,
variable,nsigma,,,vertical coordinate formula term: nsigma,,integer,,,,,,,,,,,,
variable,z1,,,vertical coordinate formula term: z1,,double,,,,,,,,,,,,
variable,z2,,,vertical coordinate formula term: z2,,double,,,,,,,,,,,,
variable,href,,,vertical coordinate formula term: href,,double,,,,,,,,,,,,
variable,k_c,,,vertical coordinate formula term: k_c,,integer,,,,,,,,,,,,
variable,areacella,areacella,cell_area,Atmosphere Grid-Cell Area,longitude latitude,real,m2,,,atmos land,,1e+12,100000.0,,,1e+12,100000.0,
variable,orog,orog,surface_altitude,Surface Altitude,longitude latitude,real,m,area: areacella,,atmos,,,,,,10000.0,-700.0,
variable,sftlf,sftlf,land_area_fraction,Land Area Fraction,longitude latitude,real,%,area: areacella,,atmos,,,,,,100.0,0.0,
variable,sftgif,sftgif,land_ice_area_fraction,Fraction of Grid Cell Covered with Glacier,longitude latitude,real,%,area: areacella,,land,,,,,,100.0,0.0,
variable,mrsofc,mrsofc,soil_moisture_content_at_field_capacity,Capacity of Soil to Store Water,longitude latitude,real,kg m-2,area: areacella,,land,,,,,,,,
variable,rootd,rootd,root_depth,Maximum Root Depth,longitude latitude,real,m,area: areacella,,land,,,,,,30.0,0.0,
variable,deptho,deptho,sea_floor_depth_below_geoid,Sea Floor Depth,longitude latitude,real,m,area: areacello,,ocean,,5000.0,2000.0,,,10000.0,0.0,
variable,volcello,volcello,ocean_volume,Ocean Grid-Cell Volume,longitude latitude olevel,real,m3,,,ocean,,1e+15,0.0,,,1e+15,0.0,
variable,areacello,areacello,cell_area,Ocean Grid-Cell Area,longitude latitude,real,m2,,,ocean,,1e+12,0.0,,,1e+12,0.0,
variable,sftof,sftof,sea_area_fraction,Sea Area Fraction,longitude latitude,real,%,area: areacello,,ocean,,,,,,100.0,0.0,
variable,basin,basin,region,Region Selection Index,longitude latitude,integer,1,area: areacello,,ocean,,,,,,10.0,1.0,
variable,hfgeou,hfgeou,upward_geothermal_heat_flux_at_sea_floor,Upward Geothermal Heat Flux at Sea Floor,longitude latitude,real,W m-2,area: areacello,area: mean where sea,ocean,,,,up,,,,
variable,thkcello,thkcello,cell_thickness,Ocean Model Cell Thickness,longitude latitude olevel,real,m,area: areacello volume: volcello,time: mean,ocean,,,,,,,,
