 variable_entry,out_name,standard_name,long_name,dimensions,type,units,cell_measures,cell_methods,modeling_realm,must_have_bounds,ok_max_mean_abs,ok_min_mean_abs,positive,stored_direction,valid_max,valid_min
axis,i_index,i,,cell index along first dimension,,		  integer,1,,,,,,,,,,,
axis,j_index,j,,cell index along second dimension,,		  integer,1,,,,,,,,,,,
axis,k_index,k,,cell index along third dimension,,		  integer,1,,,,,,,,,,,
axis,l_index,l,,cell index along fourth dimension,,		  integer,1,,,,,,,,,,,
axis,m_index,m,,cell index along fifth dimension,,		  integer,1,,,,,,,,,,,
axis,x,,projection_x_coordinate,x coordinate of projection,,,m,,,,,,,,,,,
axis,y,,projection_y_coordinate,y coordinate of projection,,,m,,,,,,,,,,,
axis,grid_latitude,rlat,grid_latitude,latitude in rotated pole grid,,,degrees,,,,,,,,,,,
axis,grid_longitude,rlon,grid_longitude,longitude in rotated pole grid,,,degrees,,,,,,,,,,,
axis,vertices,,,,,,,,,,,,,,,,,
variable,longitude,lon,longitude,longitude coordinate,	  longitude latitude,,degrees_east,,,,,,,,,360.,0.,
variable,latitude,lat,latitude,latitude coordinate,	  longitude latitude,,degrees_north,,,,,,,,,90.,-90.,
variable,vertices_longitude,lon_vertices,,,	  vertices longitude latitude,,degrees_east,,,,,,,,,360.,0.,
variable,vertices_latitude,lat_vertices,,,	  vertices longitude latitude,,degrees_north,,,,,,,,,90.,-90.,
