#
# Master CCSM experiment list
#
#  Columns   Field
#   1 -  45  CCSM case name
#  46 -  47  Location (NC = NCAR; NE = NERSC; OR = ORNL)
#  55 -  74  Very brief description and/or PCMDI name (N/A if not applicable)
#  75 -  76  Realization number (<=2 digits) (0 if not applicable)
#  80 -  82  Is a CMIP3 (cm3) or CMIP5 (cm5) experiment?
#  85 - 124  RUN_REFCASE (parent CCSM case)
# 130 - 139  RUN_REFDATE (branch date, yyyy-mm-dd)
# 145 - 148  Year began or YYYY if unknown
# 150 - 153  Year ended or YYYY if unknown
# 155-  174  GRID (resolution)
# 175 - 194  COMPSET (all "-" if missing)
# 195 - 224  REPOTAG (all "-" if missing)
# 225 - 239  MACH (hardware)
# 240 - end  DOUT_L_MSROOT (history file location on archive)
#
#---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#                                                                                                  1         1         1         1         1         1         1         1         1         1         2         2         2         2         2         2
#        1         2         3         4         5         6         7         8         9         0         1         2         3         4         5         6         7         8         9         0         1         2         3         4         5
#234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890
#CASE                                        loc      CMIP5 name          ##   CMIP RUN_REFCASE                                 RUN_REFDATE    BEGIN END  GRID                COMPSET             REPOTAG                       MACH           DOUT
b30.030f.ES01                                NC       20C3M               7    cm3  b30.020.ES01                                 0410-01-01     1870 1999 T85_gx1             ----------------    -------------------------     JAMSTEC        /CCSM/csm
b30.030g.ES01                                NC       20C3M               8    cm3  b30.020.ES01                                 0460-01-01     1870 1999 T85_gx1             ----------------    -------------------------     JAMSTEC        /CCSM/csm
b30.030h.ES01                                NC       20C3M               9    cm3  b30.020b.ES01                                0540-01-01     1870 1999 T85_gx1             ----------------    -------------------------     JAMSTEC        /CCSM/csm
b30.030h                                     NC       20C3M               10   cm3  b20.020                                      0540-01-01     1870 1999 T85_gx1             ----------------    -------------------------     cheetah        /home/buja/mss/CCSM/csm
b30.031                                      NC       PDcntrl             1    N/A  none                                         0359-01-01     0359 0880 T31_gx3             ----------------    -------------------------     bluesky        /CCSM/csm
b30.036a                                     NC       Commit              1    cm3  b30.030a                                     2000-01-01     2000 2099 T85_gx1             ----------------    -------------------------     bluesky        /CCSM/csm
b30.036b                                     NC       Commit              2    cm3  b30.030b                                     2000-01-01     2000 2099 T85_gx1             ----------------    -------------------------     bluesky        /CCSM/csm
b30.036c                                     NC       Commit              3    cm3  b30.030c                                     2000-01-01     2000 2099 T85_gx1             ----------------    -------------------------     bluesky        /CCSM/csm
b30.036d                                     NC       Commit              4    cm3  b30.030d                                     2000-01-01     2000 2099 T85_gx1             ----------------    -------------------------     bluesky        /CCSM/csm
b30.036e                                     NC       Commit              5    cm3  b30.030e                                     2000-01-01     2000 2099 T85_gx1             ----------------    -------------------------     bluesky        /CCSM/csm
b30.036b.ES01                                NC       Commit              6    cm3  b30.030b.ES01                                2000-01-01     2000 2049 T85_gx1             ----------------    -------------------------     JAMSTEC        /CCSM/csm
b30.036f.ES01                                NC       Commit              7    cm3  b30.030f.ES01                                2000-01-01     2000 2049 T85_gx1             ----------------    -------------------------     JAMSTEC        /CCSM/csm
b30.036g.ES01                                NC       Commit              8    cm3  b30.030g.ES01                                2000-01-01     2000 2049 T85_gx1             ----------------    -------------------------     JAMSTEC        /CCSM/csm
b30.040a                                     NC       SRESA1B             1    cm3  b30.030a                                     2000-01-01     2000 2099 T85_gx1             ----------------    -------------------------     cheetah        /home/buja/mss/CCSM/csm
