#
# Master CCSM experiment list
#
#  Columns   Field
#   1 -  45  CCSM case name
#  46 -  47  Location (NC = NCAR; NE = NERSC; OR = ORNL)
#  55 -  74  Very brief description and/or PCMDI name (N/A if not applicable)
#  75 -  76  Realization number (<=2 digits) (0 if not applicable)
#  80 -  82  Is a CMIP3 (cm3) or CMIP5 (cm5) experiment?
#  85 - 124  RUN_REFCASE (parent CCSM case)
# 130 - 139  RUN_REFDATE (branch date, yyyy-mm-dd)
# 145 - 148  Year began or YYYY if unknown
# 150 - 153  Year ended or YYYY if unknown
# 155-  174  GRID (resolution)
# 175 - 194  COMPSET (all "-" if missing)
# 195 - 224  REPOTAG (all "-" if missing)
# 225 - 239  MACH (hardware)
# 240 - end  DOUT_L_MSROOT (history file location on archive)
#
#---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#                                                                                                  1         1         1         1         1         1         1         1         1         1         2         2         2         2         2         2
#        1         2         3         4         5         6         7         8         9         0         1         2         3         4         5         6         7         8         9         0         1         2         3         4         5
#234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890
#CASE                                        loc      CMIP5 name          ##   CMIP RUN_REFCASE                                 RUN_REFDATE    BEGIN END  GRID                COMPSET             REPOTAG                       MACH           DOUT
cam3t42_lgccsm3_ghg_28                       NC       A1BAMIP_ghg         28   cm3  eul64x128_d63iamip_05                        2000-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_ghg_29                       NC       A1BAMIP_ghg         29   cm3  eul64x128_d63iamip_05                        1999-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_ghg_30                       NC       A1BAMIP_ghg         30   cm3  eul64x128_d63iamip_05                        2000-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_sstTOGA_01                   NC       A1BAMIP_TOGA        1    cm3  eul64x128_d63iamip_01                        1999-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_sstTOGA_02                   NC       A1BAMIP_TOGA        2    cm3  eul64x128_d63iamip_01                        2000-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_sstTOGA_03                   NC       A1BAMIP_TOGA        3    cm3  eul64x128_d63iamip_02                        1999-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_sstTOGA_04                   NC       A1BAMIP_TOGA        4    cm3  eul64x128_d63iamip_02                        2000-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_sstTOGA_05                   NC       A1BAMIP_TOGA        5    cm3  eul64x128_d63iamip_03                        1999-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_sstTOGA_06                   NC       A1BAMIP_TOGA        6    cm3  eul64x128_d63iamip_03                        2000-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_sstTOGA_07                   NC       A1BAMIP_TOGA        7    cm3  eul64x128_d63iamip_04                        1999-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_sstTOGA_08                   NC       A1BAMIP_TOGA        8    cm3  eul64x128_d63iamip_04                        2000-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_sstTOGA_09                   NC       A1BAMIP_TOGA        9    cm3  eul64x128_d63iamip_05                        1999-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_sstTOGA_10                   NC       A1BAMIP_TOGA        10   cm3  eul64x128_d63iamip_05                        2000-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_sst_01                       NC       A1BAMIP_sst         1    cm3  eul64x128_d63iamip_01                        1999-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_sst_02                       NC       A1BAMIP_sst         2    cm3  eul64x128_d63iamip_01                        2000-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_sst_03                       NC       A1BAMIP_sst         3    cm3  eul64x128_d63iamip_02                        1999-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_sst_04                       NC       A1BAMIP_sst         4    cm3  eul64x128_d63iamip_02                        2000-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_sst_05                       NC       A1BAMIP_sst         5    cm3  eul64x128_d63iamip_03                        1999-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_sst_06                       NC       A1BAMIP_sst         6    cm3  eul64x128_d63iamip_03                        2000-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_sst_07                       NC       A1BAMIP_sst         7    cm3  eul64x128_d63iamip_04                        1999-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_sst_08                       NC       A1BAMIP_sst         8    cm3  eul64x128_d63iamip_04                        2000-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_sst_09                       NC       A1BAMIP_sst         9    cm3  eul64x128_d63iamip_05                        1999-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_sst_10                       NC       A1BAMIP_sst         10   cm3  eul64x128_d63iamip_05                        2000-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_sst_11                       NC       A1BAMIP_sst         11   cm3  eul64x128_d63iamip_05                        1999-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /TOMAS/csm
cam3t42_lgccsm3_sst_12                       NC       A1BAMIP_sst         12   cm3  eul64x128_d63iamip_05                        2000-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /TOMAS/csm
cam3t42_lgccsm3_sst_13                       NC       A1BAMIP_sst         13   cm3  eul64x128_d63iamip_05                        1999-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /TOMAS/csm
cam3t42_lgccsm3_sst_14                       NC       A1BAMIP_sst         14   cm3  eul64x128_d63iamip_05                        2000-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /TOMAS/csm
cam3t42_lgccsm3_sst_15                       NC       A1BAMIP_sst         15   cm3  eul64x128_d63iamip_05                        1999-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /TOMAS/csm
cam3t42_lgccsm3_sst_16                       NC       A1BAMIP_sst         16   cm3  eul64x128_d63iamip_05                        2000-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /TOMAS/csm
cam3t42_lgccsm3_sst_17                       NC       A1BAMIP_sst         17   cm3  eul64x128_d63iamip_05                        1999-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /TOMAS/csm
cam3t42_lgccsm3_sst_18                       NC       A1BAMIP_sst         18   cm3  eul64x128_d63iamip_05                        2000-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /TOMAS/csm
cam3t42_lgccsm3_sst_19                       NC       A1BAMIP_sst         19   cm3  eul64x128_d63iamip_05                        1999-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /TOMAS/csm
cam3t42_lgccsm3_sst_20                       NC       A1BAMIP_sst         20   cm3  eul64x128_d63iamip_05                        2000-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /TOMAS/csm
cam3t42_lgccsm3_sst_21                       NC       A1BAMIP_sst         21   cm3  eul64x128_d63iamip_05                        1999-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_sst_22                       NC       A1BAMIP_sst         22   cm3  eul64x128_d63iamip_05                        2000-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_sst_23                       NC       A1BAMIP_sst         23   cm3  eul64x128_d63iamip_05                        1999-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_sst_24                       NC       A1BAMIP_sst         24   cm3  eul64x128_d63iamip_05                        2000-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_sst_25                       NC       A1BAMIP_sst         25   cm3  eul64x128_d63iamip_05                        1999-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_sst_26                       NC       A1BAMIP_sst         26   cm3  eul64x128_d63iamip_05                        2000-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_sst_27                       NC       A1BAMIP_sst         27   cm3  eul64x128_d63iamip_05                        1999-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_sst_28                       NC       A1BAMIP_sst         28   cm3  eul64x128_d63iamip_05                        2000-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_sst_29                       NC       A1BAMIP_sst         29   cm3  eul64x128_d63iamip_05                        1999-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_sst_30                       NC       A1BAMIP_sst         30   cm3  eul64x128_d63iamip_05                        2000-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_sstghg_01                    NC       A1BAMIP_ghgsst      1    cm3  eul64x128_d63iamip_01                        1999-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_sstghg_02                    NC       A1BAMIP_ghgsst      2    cm3  eul64x128_d63iamip_01                        2000-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_sstghg_03                    NC       A1BAMIP_ghgsst      3    cm3  eul64x128_d63iamip_02                        1999-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_sstghg_04                    NC       A1BAMIP_ghgsst      4    cm3  eul64x128_d63iamip_02                        2000-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_sstghg_05                    NC       A1BAMIP_ghgsst      5    cm3  eul64x128_d63iamip_03                        1999-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_sstghg_06                    NC       A1BAMIP_ghgsst      6    cm3  eul64x128_d63iamip_03                        2000-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_sstghg_07                    NC       A1BAMIP_ghgsst      7    cm3  eul64x128_d63iamip_04                        1999-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_sstghg_08                    NC       A1BAMIP_ghgsst      8    cm3  eul64x128_d63iamip_04                        2000-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_sstghg_09                    NC       A1BAMIP_ghgsst      9    cm3  eul64x128_d63iamip_05                        1999-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_sstghg_10                    NC       A1BAMIP_ghgsst      10   cm3  eul64x128_d63iamip_05                        2000-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_sstghg_11                    NC       A1BAMIP_sstghg      11   cm3  eul64x128_d63iamip_05                        1999-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /TOMAS/csm
cam3t42_lgccsm3_sstghg_12                    NC       A1BAMIP_sstghg      12   cm3  eul64x128_d63iamip_05                        2000-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /TOMAS/csm
cam3t42_lgccsm3_sstghg_13                    NC       A1BAMIP_sstghg      13   cm3  eul64x128_d63iamip_05                        1999-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /TOMAS/csm
cam3t42_lgccsm3_sstghg_14                    NC       A1BAMIP_sstghg      14   cm3  eul64x128_d63iamip_05                        2000-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /TOMAS/csm
cam3t42_lgccsm3_sstghg_15                    NC       A1BAMIP_sstghg      15   cm3  eul64x128_d63iamip_05                        1999-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /TOMAS/csm
cam3t42_lgccsm3_sstghg_16                    NC       A1BAMIP_sstghg      16   cm3  eul64x128_d63iamip_05                        2000-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /TOMAS/csm
cam3t42_lgccsm3_sstghg_17                    NC       A1BAMIP_sstghg      17   cm3  eul64x128_d63iamip_05                        1999-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /TOMAS/csm
cam3t42_lgccsm3_sstghg_18                    NC       A1BAMIP_sstghg      18   cm3  eul64x128_d63iamip_05                        2000-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /TOMAS/csm
cam3t42_lgccsm3_sstghg_19                    NC       A1BAMIP_sstghg      19   cm3  eul64x128_d63iamip_05                        1999-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /TOMAS/csm
cam3t42_lgccsm3_sstghg_20                    NC       A1BAMIP_sstghg      20   cm3  eul64x128_d63iamip_05                        2000-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /TOMAS/csm
cam3t42_lgccsm3_sstghg_21                    NC       A1BAMIP_sstghg      21   cm3  eul64x128_d63iamip_05                        1999-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /TOMAS/csm
cam3t42_lgccsm3_sstghg_22                    NC       A1BAMIP_sstghg      22   cm3  eul64x128_d63iamip_05                        2000-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /TOMAS/csm
cam3t42_lgccsm3_sstghg_23                    NC       A1BAMIP_sstghg      23   cm3  eul64x128_d63iamip_05                        1999-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /TOMAS/csm
cam3t42_lgccsm3_sstghg_24                    NC       A1BAMIP_sstghg      24   cm3  eul64x128_d63iamip_05                        2000-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /TOMAS/csm
cam3t42_lgccsm3_sstghg_25                    NC       A1BAMIP_sstghg      25   cm3  eul64x128_d63iamip_05                        1999-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /TOMAS/csm
cam3t42_lgccsm3_sstghg_26                    NC       A1BAMIP_sstghg      26   cm3  eul64x128_d63iamip_05                        2000-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /TOMAS/csm
cam3t42_lgccsm3_sstghg_27                    NC       A1BAMIP_sstghg      27   cm3  eul64x128_d63iamip_05                        1999-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /TOMAS/csm
cam3t42_lgccsm3_sstghg_28                    NC       A1BAMIP_sstghg      28   cm3  eul64x128_d63iamip_05                        2000-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /TOMAS/csm
cam3t42_lgccsm3_sstghg_29                    NC       A1BAMIP_sstghg      29   cm3  eul64x128_d63iamip_05                        1999-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /TOMAS/csm
cam3t42_lgccsm3_sstghg_30                    NC       A1BAMIP_sstghg      30   cm3  eul64x128_d63iamip_05                        2000-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /TOMAS/csm
cam3t42_lgccsm3_co2_01                       NC       A1BAMIP_co2         1    cm3  eul64x128_d63iamip_01                        1999-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_co2_02                       NC       A1BAMIP_co2         2    cm3  eul64x128_d63iamip_01                        2000-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_co2_03                       NC       A1BAMIP_co2         3    cm3  eul64x128_d63iamip_02                        1999-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_co2_04                       NC       A1BAMIP_co2         4    cm3  eul64x128_d63iamip_02                        2000-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_co2_05                       NC       A1BAMIP_co2         5    cm3  eul64x128_d63iamip_03                        1999-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_co2_06                       NC       A1BAMIP_co2         6    cm3  eul64x128_d63iamip_03                        2000-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_co2_07                       NC       A1BAMIP_co2         7    cm3  eul64x128_d63iamip_04                        1999-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_co2_08                       NC       A1BAMIP_co2         8    cm3  eul64x128_d63iamip_04                        2000-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_co2_09                       NC       A1BAMIP_co2         9    cm3  eul64x128_d63iamip_05                        1999-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_co2_10                       NC       A1BAMIP_co2         10   cm3  eul64x128_d63iamip_05                        2000-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_o3_01                        NC       A1BAMIP_o3          1    cm3  eul64x128_d63iamip_01                        1999-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_o3_02                        NC       A1BAMIP_o3          2    cm3  eul64x128_d63iamip_01                        2000-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_o3_03                        NC       A1BAMIP_o3          3    cm3  eul64x128_d63iamip_02                        1999-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_o3_04                        NC       A1BAMIP_o3          4    cm3  eul64x128_d63iamip_02                        2000-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_o3_05                        NC       A1BAMIP_o3          5    cm3  eul64x128_d63iamip_03                        1999-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_o3_06                        NC       A1BAMIP_o3          6    cm3  eul64x128_d63iamip_03                        2000-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_o3_07                        NC       A1BAMIP_o3          7    cm3  eul64x128_d63iamip_04                        1999-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_o3_08                        NC       A1BAMIP_o3          8    cm3  eul64x128_d63iamip_04                        2000-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_o3_09                        NC       A1BAMIP_o3          9    cm3  eul64x128_d63iamip_05                        1999-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
cam3t42_lgccsm3_o3_10                        NC       A1BAMIP_o3          10   cm3  eul64x128_d63iamip_05                        2000-01-01     2000 2060 T42_gx1             ----------------    -------------------------     bluefire       /HTENG/csm
b30.090a                                     NC       20C3M_anthro        1    cm3  b30.020                                      0360-01-01     1870 1999 T85_gx1             ----------------    -------------------------     phoenix        /f2/adrianne/ccsm
b30.090b                                     NC       20C3M_anthro        2    cm3  b30.020                                      0380-01-01     1870 1999 T85_gx1             ----------------    -------------------------     phoenix        /f2/adrianne/ccsm
b30.090c                                     NC       20C3M_anthro        3    cm3  b30.020                                      0400-01-01     1870 1999 T85_gx1             ----------------    -------------------------     phoenix        /f2/adrianne/ccsm
b30.090d                                     NC       20C3M_anthro        4    cm3  b30.020                                      0420-01-01     1870 1999 T85_gx1             ----------------    -------------------------     phoenix        /f2/adrianne/ccsm
b30.090e                                     NE       20C3M_anthro        5    cm3  b30.020                                      0440-01-01     1870 1999 T85_gx1             ----------------    -------------------------     bassi          /nersc/mp9/adrianne/ccsm
b30.097a                                     NC       Geoengineering      1    N/A  b30.042a                                     2020-01-01     2020 2049 T85_gx1             ----------------    -------------------------     bluesky        /CCSM/csm
b30.097b                                     NC       Geoengineering      2    N/A  b30.042a                                     2020-01-01     2020 2049 T85_gx1             ----------------    -------------------------     bluesky        /CCSM/csm
b30.097c                                     NC       Geoengineering      3    N/A  b30.042b                                     2020-01-01     2020 2049 T85_gx1             ----------------    -------------------------     bluesky        /CCSM/csm
b30.097d                                     NC       Geoengineering      4    N/A  b30.042c                                     2020-01-01     2020 2049 T85_gx1             ----------------    -------------------------     bluesky        /CCSM/csm
b30.097e                                     NC       Geoengineering      5    N/A  b30.042d                                     2020-01-01     2020 2049 T85_gx1             ----------------    -------------------------     bluesky        /CCSM/csm
b30.099a                                     NC       SRESA1FI            1    cm3  b30.030a                                     2000-01-01     2000 2099 T85_gx1             ----------------    -------------------------     jaguar         /f2/hteng/mss/CCSM/csm
b30.099b                                     NC       SRESA1FI            2    cm3  b30.030b                                     2000-01-01     2000 2099 T85_gx1             ----------------    -------------------------     jaguar         /f2/adrianne/ccsm
b30.099c                                     NC       SRESA1FI            3    cm3  b30.030c                                     2000-01-01     2000 2099 T85_gx1             ----------------    -------------------------     jaguar         /f2/adrianne/ccsm
b30.102a                                     NE       20C3M_sd            1    cm3  b30.020                                      0360-01-01     1870 1999 T85_gx1             ----------------    -------------------------     bassi          /nersc/mp9/adrianne/ccsm
b30.102b                                     NE       20C3M_sd            2    cm3  b30.020                                      0380-01-01     1870 1999 T85_gx1             ----------------    -------------------------     bassi          /nersc/mp9/adrianne/ccsm
b30.208a                                     NE       CCSP_Refere1e       1    cm3  b30.030a                                     2000-01-01     2000 2099 T85_gx1             ----------------    -------------------------     bassi          /nersc/mp9/adrianne/ccsm
b30.244a                                     NE       CCSP_Refere1e       1    cm3  b30.208a                                     2100-01-01     2100 2299 T85_gx1             ----------------    -------------------------     bassi          /nersc/mp9/adrianne/ccsm
b30.208b                                     NE       CCSP_Refere1e       2    cm3  b30.030b                                     2000-01-01     2000 2099 T85_gx1             ----------------    -------------------------     bassi          /nersc/mp9/adrianne/ccsm
b30.208c                                     NE       CCSP_Refere1e       3    cm3  b30.030c                                     2000-01-01     2000 2099 T85_gx1             ----------------    -------------------------     bassi          /nersc/mp9/adrianne/ccsm
b30.208d                                     NE       CCSP_Refere1e       4    cm3  b30.030d                                     2000-01-01     2000 2099 T85_gx1             ----------------    -------------------------     bassi          /nersc/mp9/adrianne/ccsm
b30.209a                                     NC       CCSP_Stab450        1    cm3  b30.030a                                     2000-01-01     2000 2099 T85_gx1             ----------------    -------------------------     jaguar         /f2/adrianne/ccsm
b30.245a                                     NC       CCSP_Stab450        1    cm3  b30.209a                                     2100-01-01     2100 2299 T85_gx1             ----------------    -------------------------     jaguar         /f2/adrianne/ccsm
b30.209b                                     NC       CCSP_Stab450        2    cm3  b30.030b                                     2000-01-01     2000 2099 T85_gx1             ----------------    -------------------------     jaguar         /f2/adrianne/ccsm
b30.209c                                     NC       CCSP_Stab450        3    cm3  b30.030c                                     2000-01-01     2000 2099 T85_gx1             ----------------    -------------------------     jaguar         /f2/adrianne/ccsm
b30.209d                                     NC       CCSP_Stab450        4    cm3  b30.030d                                     2000-01-01     2000 2099 T85_gx1             ----------------    -------------------------     jaguar         /f2/adrianne/ccsm
b30.210a                                     NC       T170_PIcntrl        0    N/A  none                                         0000-01-01     YYYY YYYY T170_gx1            ----------------    -------------------------     jaguar         /f2/adrianne/ccsm
b30.216a                                     NE       20C3M_gg            1    cm3  b30.020                                      0360-01-01     1870 1999 T85_gx1             ----------------    -------------------------     bassi          /nersc/mp9/adrianne/ccsm
b30.216b                                     NE       20C3M_gg            2    cm3  b30.020                                      0380-01-01     1870 1999 T85_gx1             ----------------    -------------------------     bassi          /nersc/mp9/adrianne/ccsm
b30.217a                                     NE       20C3M_sl            1    cm3  b30.020                                      0360-01-01     1870 1999 T85_gx1             ----------------    -------------------------     bassi          /nersc/mp9/adrianne/ccsm
b30.217b                                     NE       20C3M_sl            2    cm3  b30.020                                      0380-01-01     1870 1999 T85_gx1             ----------------    -------------------------     bassi          /nersc/mp9/adrianne/ccsm
b30.218a                                     NE       20C3M_vl            1    cm3  b30.020                                      0360-01-01     1870 1999 T85_gx1             ----------------    -------------------------     bassi          /nersc/mp9/adrianne/ccsm
b30.218b                                     NE       20C3M_vl            2    cm3  b30.020                                      0380-01-01     1870 1999 T85_gx1             ----------------    -------------------------     bassi          /nersc/mp9/adrianne/ccsm
b30.219a                                     NE       20C3M_oz            1    cm3  b30.020                                      0360-01-01     1870 1999 T85_gx1             ----------------    -------------------------     bassi          /nersc/mp9/adrianne/ccsm
b30.219b                                     NE       20C3M_oz            2    cm3  b30.020                                      0380-01-01     1870 1999 T85_gx1             ----------------    -------------------------     bassi          /nersc/mp9/adrianne/ccsm
b30.220a                                     NE       20C3M_si            1    cm3  b30.020                                      0360-01-01     1870 1999 T85_gx1             ----------------    -------------------------     bassi          /nersc/mp9/adrianne/ccsm
b30.220b                                     NE       20C3M_si            2    cm3  b30.020                                      0380-01-01     1870 1999 T85_gx1             ----------------    -------------------------     bassi          /nersc/mp9/adrianne/ccsm
b30.227a                                     NE       CCSP_Refere1e       1    cm3  b30.208a                                     2100-01-01     2100 2299 T85_gx1             ----------------    -------------------------     bassi          /nersc/mp9/adrianne/ccsm
b30.240a                                     NC       CCSP_Level2         1    cm3  b30.030a                                     2000-01-01     2000 2099 T85_gx1             ----------------    -------------------------     jaguar         /f2/adrianne/ccsm
b30.240b                                     NC       CCSP_Level2         2    cm3  b30.030b                                     2000-01-01     2000 2099 T85_gx1             ----------------    -------------------------     jaguar         /f2/adrianne/ccsm
b30.240c                                     NC       CCSP_Level2         3    cm3  b30.030c                                     2000-01-01     2000 2099 T85_gx1             ----------------    -------------------------     jaguar         /f2/adrianne/ccsm
b30.240d                                     NC       CCSP_Level2         4    cm3  b30.030d                                     2000-01-01     2000 2099 T85_gx1             ----------------    -------------------------     jaguar         /f2/adrianne/ccsm
b30.241a                                     NC       CCSP_Level3         1    cm3  b30.030a                                     2000-01-01     2000 2099 T85_gx1             ----------------    -------------------------     jaguar         /f2/adrianne/ccsm
b30.241b                                     NC       CCSP_Level3         2    cm3  b30.030b                                     2000-01-01     2000 2099 T85_gx1             ----------------    -------------------------     jaguar         /f2/adrianne/ccsm
b30.241c                                     NC       CCSP_Level3         3    cm3  b30.030c                                     2000-01-01     2000 2099 T85_gx1             ----------------    -------------------------     jaguar         /f2/adrianne/ccsm
b30.241d                                     NC       CCSP_Level3         4    cm3  b30.030d                                     2000-01-01     2000 2099 T85_gx1             ----------------    -------------------------     jaguar         /f2/adrianne/ccsm
